"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test"
"S:30-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","sraxfpri","C10-StateDim2","DAE","C10","3","1","1","30","3","2","0.11662672460079192"
"S:50-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","8xeuxaan","C10-StateDim2","DAE","C10","1","1","1","50","3","2","0.15314453840255737"
"S:50-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","k7qa33r7","C10-StateDim2","DAE","C10","0","1","1","50","3","2","0.15809713304042816"
"S:10-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","3pz3nimc","C10-StateDim2","E-DAE","C10","2","1","1","10","3","2","0.11063863337039948"
"S:30-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","v4xnqsam","C10-StateDim2","DAE","C10","0","1","1","30","3","2","0.11202005296945572"
"S:30-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","nsz5l59g","C10-StateDim2","DAE","C10","1","1","1","30","3","2","0.11249672621488573"
"S:10-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","o187tbfc","C10-StateDim2","E-DAE","C10","1","1","1","10","3","2","0.10922557860612868"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","v9g16vaj","C10-StateDim2","E-DAE","C10","2","1","1","50","3","2","0.1115620657801628"
"S:30-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","1xinq51k","C10-StateDim2","E-DAE","C10","3","1","1","30","3","2","0.08411438763141632"
"S:10-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","du09zsrs","C10-StateDim2","E-DAE","C10","0","1","1","10","3","2","0.10985314846038818"
"S:10-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","y8su3gvc","C10-StateDim2","E-DAE","C10","3","1","1","10","3","2","0.11018145829439165"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","iexbcazm","C10-StateDim2","E-DAE","C10","0","1","1","50","3","2","0.1099935621023178"
"S:30-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","s9s2euj3","C10-StateDim2","E-DAE","C10","1","1","1","30","3","2","0.08465436846017838"
"S:30-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","p7qsi3yb","C10-StateDim2","E-DAE","C10","0","1","1","30","3","2","0.0827094167470932"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","t7gnityf","C10-StateDim2","E-DAE","C10","1","1","1","50","3","2","0.10926799476146698"
"S:10-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","ocb6to4i","C10-StateDim2","DAE","C10","2","1","1","10","3","2","0.1301351636648178"
"S:10-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","5l9aec4p","C10-StateDim2","DAE","C10","0","1","1","10","3","2","0.12360957264900208"
"S:10-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","9axdceka","C10-StateDim2","DAE","C10","3","1","1","10","3","2","0.11615660786628725"
"S:10-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","1aw7ce4u","C10-StateDim2","DAE","C10","1","1","1","10","3","2","0.12129179388284685"
