"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test","time","state_pred_loss_t/test"
"S:30-OS:8-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","gnwcw0aq","C10-ObsStateDim2","E-DAE","C10","1","1","1","30","8","2","0.1021675318479538","5.44505545461858","0.14965619146823883"
"S:30-OS:8-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","iv5vn8s1","C10-ObsStateDim2","E-DAE","C10","3","1","1","30","8","2","0.10476231575012208","5.44505545461858","0.1551511138677597"
"S:30-OS:8-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","1imc86ow","C10-ObsStateDim2","E-DAE","C5","1","1","1","30","8","2","0.09884636104106904","5.208811018859324","0.14534687995910645"
"S:30-OS:8-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","fas1thr0","C10-ObsStateDim2","E-DAE","C5","3","1","1","30","8","2","0.09949571639299391","5.208811018859324","0.14700639247894287"
"S:30-OS:6-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ubr0hklo","C10-ObsStateDim2","E-DAE","C10","1","1","1","30","6","2","0.1021641120314598","5.44505545461858","0.15094904601573944"
"S:30-OS:6-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","qoj8711w","C10-ObsStateDim2","E-DAE","C10","3","1","1","30","6","2","0.10552722960710526","5.44505545461858","0.15732517838478088"
"S:30-OS:6-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","qg9f7d10","C10-ObsStateDim2","E-DAE","C5","3","1","1","30","6","2","0.09646915644407272","5.208811018859324","0.14166304469108582"
"S:30-OS:6-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","8cf8x2c9","C10-ObsStateDim2","E-DAE","C5","1","1","1","30","6","2","0.0927291288971901","5.208811018859324","0.13433529436588287"
"S:30-OS:8-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","yyqtexjm","C10-ObsStateDim2","DAE","C10","1","1","1","30","8","2","0.15069665014743805","5.44505545461858","0.24017322063446045"
"S:30-OS:6-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","417xzz2q","C10-ObsStateDim2","DAE","C10","1","1","1","30","6","2","0.14990904927253723","5.44505545461858","0.23398058116436005"
