,real,imag,irrep,model.name,system.group,Name
15,0.9511607885360718,0.05011674016714096,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
16,0.9511607885360718,-0.05011674016714096,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
17,0.9343366026878357,0.015372073277831078,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
18,0.9343366026878357,-0.015372073277831078,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
19,0.999499499797821,0.03404419869184494,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
20,0.999499499797821,-0.03404419869184494,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
21,0.9764147996902466,0.025400804355740547,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
22,0.9764147996902466,-0.025400804355740547,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
23,0.9915263056755066,0.0,"((1,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
24,0.9653531312942505,0.11767689138650894,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
25,0.9653531312942505,-0.11767689138650894,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
26,0.9262375235557556,0.0,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
27,0.9310638308525085,0.0,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
28,0.9463673830032349,0.02596888691186905,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
29,0.9463673830032349,-0.02596888691186905,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
30,0.9926879405975342,0.04718584939837456,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
31,0.9926879405975342,-0.04718584939837456,"((0,), (0, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
