,time,state_pred_loss_t/test,model.name,system.group,Name
20,0.06,4.814382553100586,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
21,0.063,4.8522047996521,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
22,0.066,4.8907084465026855,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
23,0.069,4.928112983703613,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
24,0.07200000000000001,4.963099002838135,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
25,0.075,4.996076583862305,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
26,0.078,5.027554988861084,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
27,0.081,5.059162616729736,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
28,0.084,5.092823505401611,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
29,0.08700000000000001,5.129776477813721,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
