"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","state_pred_loss/test"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","p465h0ow","LinSampleEff","E-DAE","C10","3","0.75","1","0.11330195516347884"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 system=linear_system","jhrudyb7","LinSampleEff","E-DAE","C10","3","1","1","0.10993674397468568"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.5 system=linear_system","mjfbkjtk","LinSampleEff","E-DAE","C10","3","0.5","1","0.1114589497447014"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","6k6ab1m1","LinSampleEff","E-DAE","C10","2","0.75","1","0.11318019777536392"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","s61rgz77","LinSampleEff","E-DAE","C5","3","0.75","1","0.11547001451253892"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0 system=linear_system","m2nvxf6n","LinSampleEff","E-DAE","C5","3","1","1","0.11396615207195282"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.25 system=linear_system","yzrg9h0k","LinSampleEff","E-DAE","C10","3","0.25","1","0.11376886814832687"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.5 system=linear_system","vs4c45mz","LinSampleEff","E-DAE","C10","2","0.5","1","0.11452225595712662"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.25 system=linear_system","o1ir9few","LinSampleEff","E-DAE","C10","2","0.25","1","0.1104750633239746"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","sgvrxylm","LinSampleEff","E-DAE","C10","1","0.75","1","0.11066194623708724"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","hp1uy8o1","LinSampleEff","E-DAE","C5","2","0.75","1","0.11465998739004137"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.75 system=linear_system","otpo35ea","LinSampleEff","E-DAE","C10","0","0.75","1","0.11142870038747787"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.5 system=linear_system","uazkuwmn","LinSampleEff","E-DAE","C5","3","0.5","1","0.11717530339956284"
"S:50-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=0.5 system=linear_system","nlrqixxb","LinSampleEff","E-DAE","C10","0","0.5","1","0.11295663565397264"
